ALABAMA	AL
ALASKA	AK
ARIZONA	AZ
ARKANSAS	AR
CALIFORNIA	CA
CALIFORNIA	SOCAL
CALIFORNIA	NORCAL
CALIFORNIA	LA
CALIFORNIA	LOS ANGELES
COLORADO	CO
CONNECTICUT	CT
DELAWARE	DE
FLORIDA	FL
FLORIDA	FLA
GEORGIA	GA
HAWAII	HI
IDAHO	ID
ILLINOIS	IL
ILLINOIS	CHICAGO
INDIANA	IN
IOWA	IA
KANSAS	KS
KENTUCKY	KY
LOUISIANA	LA
MAINE	ME
MARYLAND	MD
MASSACHUSETTS	MA
MICHIGAN	MI
MICHIGAN	DETROIT
MINNESOTA	MN
MISSISSIPPI	MS
MISSOURI	MO
MONTANA	MT
NEBRASKA	NE
NEVADA	NV
NEW HAMPSHIRE	NH
NEW JERSEY	NJ
NEW JERSEY	JERSEY
NEW MEXICO	NM
NEW YORK	NY
NEW YORK	NYC
NORTH CAROLINA	NC
NORTH DAKOTA	ND
OHIO	OH
OHIO	CLE
OKLAHOMA	OK
OREGON	OR
PENNSYLVANIA	PA
RHODE ISLAND	RI
SOUTH CAROLINA	SC
SOUTH CAROLINA	CAROLINA
SOUTH DAKOTA	SD
TENNESSEE	TN
TEXAS	TX
TEXAS	HOUSTON
UTAH	UT
VERMONT	VT
VIRGINIA	VA
WASHINGTON	WA
WEST VIRGINIA	WV
WISCONSIN	WI
WISCONSIN	MILWAUKEE
WYOMING	WY
